model name,accuracy,training time
Логістична регресія,0.8529411764705882,3.405597964001572
Надзвичайно рандомізовані дерева,0.7794117647058824,0.14019383599952562
Метод опорних векторів,0.7647058823529411,0.030754024999623653
Випадковий ліс,0.75,0.2101900419984304
Багатошаровий перцептрон,0.75,0.06079529299859132
Метод k-найближчих сусідів,0.7352941176470589,0.0007907229992270004
Градієнтний бустинг,0.6470588235294118,23.4908063999992
Гаусівський наївний Баєс,0.6323529411764706,0.00176970199936477
Дерево рішень,0.4264705882352941,0.12585100300020713
AdaBoost,0.3235294117647059,2.5833622480004124
